Week Start,Filter,Students,Avg Page Views,Avg Participations,Page Views,Participations
"Sep 4, 2023",All Sections,36,9.333,0.056,336,2
"Sep 11, 2023",All Sections,36,111.111,8.361,4000,301
"Sep 18, 2023",All Sections,36,102.75,14.333,3699,516
"Sep 25, 2023",All Sections,36,90.083,14.722,3243,530
"Oct 2, 2023",All Sections,36,77.556,15.417,2792,555
"Oct 9, 2023",All Sections,36,98.444,14.5,3544,522
"Oct 16, 2023",All Sections,36,91.111,15.389,3280,554
"Oct 23, 2023",All Sections,36,87.194,16.111,3139,580
"Oct 30, 2023",All Sections,36,73.139,13.028,2633,469
"Nov 6, 2023",All Sections,36,68.972,13.278,2483,478
"Nov 13, 2023",All Sections,36,67.917,12.444,2445,448
"Nov 20, 2023",All Sections,36,63.222,7.917,2276,285
"Nov 27, 2023",All Sections,36,79.639,12.583,2867,453
"Dec 4, 2023",All Sections,36,98.028,10.833,3529,390
"Dec 11, 2023",All Sections,36,40.139,2.75,1445,99
"Dec 18, 2023",All Sections,36,0.583,0,21,0
"Dec 25, 2023",All Sections,36,0,0,0,0
"Jan 1, 2024",All Sections,36,0,0,0,0
"Jan 8, 2024",All Sections,36,0,0,0,0
"Jan 15, 2024",All Sections,36,0,0,0,0
"Jan 22, 2024",All Sections,36,0,0,0,0
"Jan 29, 2024",All Sections,36,0,0,0,0
"Feb 5, 2024",All Sections,36,0,0,0,0
"Feb 12, 2024",All Sections,36,0,0,0,0
"Feb 19, 2024",All Sections,36,0,0,0,0
"Feb 26, 2024",All Sections,36,0,0,0,0
"Mar 4, 2024",All Sections,36,0,0,0,0
"Mar 11, 2024",All Sections,36,0,0,0,0
"Mar 18, 2024",All Sections,36,0,0,0,0
"Mar 25, 2024",All Sections,36,0,0,0,0
"Apr 1, 2024",All Sections,36,0,0,0,0
"Apr 8, 2024",All Sections,36,0,0,0,0
