Week Start,Filter,Students,Avg Page Views,Avg Participations,Page Views,Participations
"Apr 11, 2022",All Sections,38,18.632,0.158,708,6
"Apr 18, 2022",All Sections,38,164.026,9,6233,342
"Apr 25, 2022",All Sections,38,173.711,14.737,6601,560
"May 2, 2022",All Sections,38,192.789,16.263,7326,618
"May 9, 2022",All Sections,38,201.395,17.5,7653,665
"May 16, 2022",All Sections,38,215.974,14.789,8207,562
"May 23, 2022",All Sections,38,197.737,15.474,7514,588
"May 30, 2022",All Sections,38,221.237,15.816,8407,601
"Jun 6, 2022",All Sections,38,0,0,0,0
"Jun 13, 2022",All Sections,38,168.421,15.263,6400,580
"Jun 20, 2022",All Sections,38,174.763,13.763,6641,523
"Jun 27, 2022",All Sections,38,203.105,9.474,7718,360
"Jul 4, 2022",All Sections,38,188.053,14.605,7146,555
"Jul 11, 2022",All Sections,38,266.132,14.842,10113,564
"Jul 18, 2022",All Sections,38,116.763,4.368,4437,166
"Jul 25, 2022",All Sections,38,3.342,0,127,0
"Aug 1, 2022",All Sections,38,0,0,0,0
"Aug 8, 2022",All Sections,38,0,0,0,0
"Aug 15, 2022",All Sections,38,0,0,0,0
"Aug 22, 2022",All Sections,38,0,0,0,0
"Aug 29, 2022",All Sections,38,0,0,0,0
"Sep 5, 2022",All Sections,38,0,0,0,0
"Sep 12, 2022",All Sections,38,0,0,0,0
"Sep 19, 2022",All Sections,38,0,0,0,0
"Sep 26, 2022",All Sections,38,0,0,0,0
"Oct 3, 2022",All Sections,38,0,0,0,0
"Oct 10, 2022",All Sections,38,0,0,0,0
"Oct 17, 2022",All Sections,38,0,0,0,0
"Oct 24, 2022",All Sections,38,0,0,0,0
"Oct 31, 2022",All Sections,38,0,0,0,0
"Nov 7, 2022",All Sections,38,0,0,0,0
"Nov 14, 2022",All Sections,38,0,0,0,0
"Nov 21, 2022",All Sections,38,0,0,0,0
"Nov 28, 2022",All Sections,38,0,0,0,0
"Dec 5, 2022",All Sections,38,0,0,0,0
"Dec 12, 2022",All Sections,38,0,0,0,0
"Dec 19, 2022",All Sections,38,0,0,0,0
"Dec 26, 2022",All Sections,38,0,0,0,0
"Jan 2, 2023",All Sections,38,0,0,0,0
"Jan 9, 2023",All Sections,38,0,0,0,0
"Jan 16, 2023",All Sections,38,0,0,0,0
"Jan 23, 2023",All Sections,38,0,0,0,0
"Jan 30, 2023",All Sections,38,0,0,0,0
"Feb 6, 2023",All Sections,38,0,0,0,0
"Feb 13, 2023",All Sections,38,0,0,0,0
"Feb 20, 2023",All Sections,38,0,0,0,0
"Feb 27, 2023",All Sections,38,0,0,0,0
"Mar 6, 2023",All Sections,38,0,0,0,0
"Mar 13, 2023",All Sections,38,0,0,0,0
"Mar 20, 2023",All Sections,38,0,0,0,0
"Mar 27, 2023",All Sections,38,0,0,0,0
"Apr 3, 2023",All Sections,38,0,0,0,0
"Apr 10, 2023",All Sections,38,0,0,0,0
"Apr 17, 2023",All Sections,38,0,0,0,0
"Apr 24, 2023",All Sections,38,0,0,0,0
"May 1, 2023",All Sections,38,0,0,0,0
"May 8, 2023",All Sections,38,0,0,0,0
"May 15, 2023",All Sections,38,0,0,0,0
"May 22, 2023",All Sections,38,0,0,0,0
"May 29, 2023",All Sections,38,0,0,0,0
"Jun 5, 2023",All Sections,38,0,0,0,0
"Jun 12, 2023",All Sections,38,0,0,0,0
"Jun 19, 2023",All Sections,38,0,0,0,0
"Jun 26, 2023",All Sections,38,0,0,0,0
"Jul 3, 2023",All Sections,38,0,0,0,0
"Jul 10, 2023",All Sections,38,0,0,0,0
"Jul 17, 2023",All Sections,38,0,0,0,0
"Jul 24, 2023",All Sections,38,0,0,0,0
"Jul 31, 2023",All Sections,38,0,0,0,0
"Aug 7, 2023",All Sections,38,0,0,0,0
"Aug 14, 2023",All Sections,38,0,0,0,0
"Aug 21, 2023",All Sections,38,0,0,0,0
"Aug 28, 2023",All Sections,38,0,0,0,0
