Resource,Students,Page Views,Participations
L06 Quiz: Group Meeting,4,9,0
Natalie Boman,1,3,0
L05 Discussion: Group Collaboration,35,126,21
L10 Quiz: Homework,38,223,157
Carly Lyons,1,2,0
math_image_successful.png,38,186,0
math221_document_evaluation.xlsx,34,49,0
Week 14:  Notes from Sister Wilkinson,24,42,0
L23 Discussion: Group Collaboration,6,7,0
L14 Materials: Individual Preparation,11,40,0
Course Discussions,20,89,1
Course Syllabus,29,182,0
L18 Quiz: Group Meeting,7,12,0
L03 Quiz: Homework,5,14,0
Emma Heitz,1,1,0
L08 Materials: Individual Preparation,38,140,0
L02 Discussion: Group Collaboration,38,252,30
BYU-I Media,2,3,0
L14 Quiz: Group Meeting,13,21,2
L13 Quiz: Homework,6,16,0
L01 Introduction to Online Tutoring,6,15,0
L23 Quiz: Homework,5,11,0
L22 Quiz: Group Meeting,38,162,123
Group Collaboration Discussions,24,27,0
BOM Project Update!  (Please Read),20,27,1
L18 Quiz: Group Meeting,38,171,124
L06 Quiz: Group Meeting,38,177,97
L08 Quiz: Group Meeting,38,283,150
Ads_E4V2.xlsx,34,42,0
Math Department Survey,21,26,0
CharlesLawAbsoluteZero_E4V2.xlsx,34,42,0
L20 Materials: Individual Preparation,36,85,0
math221_document_BoMSampling.xlsm,33,129,0
L09 Materials: Individual Preparation,38,209,0
L04 Discussion: Group Collaboration,34,125,20
L09 Quiz: Group Meeting,38,185,107
Exam 3 Debriefing Meetings,25,46,0
Week 06: Notes from Sister Wilkinson,29,43,5
L21 Discussion: Group Collaboration,27,56,15
L01 Instructions: Microsoft Excel Setup,36,71,0
L06 Quiz: Homework,38,198,138
Book of Mormon Project: Collect and Describe the Data,37,272,23
L04 Quiz: Homework,5,11,0
Unit 2 Exam (Remotely Proctored),14,33,9
L19 Discussion: Group Collaboration,24,50,16
L17 Quiz: Group Meeting,5,10,0
L13 Quiz: Group Meeting,1,1,0
L24 Materials: Individual Preparation,34,88,0
Final Project: Zoom Presentation,35,259,15
L02 Quiz: Homework,38,247,121
student t-3.png,37,692,0
L12 Quiz: Group Meeting,38,192,126
math221_image_onesampletprojectimg.png,37,578,0
L16 Discussion: Group Collaboration,2,3,0
L06 Discussion: Group Collaboration,4,10,0
L07 Quiz: Group Meeting,6,8,0
Tara Bleazard,2,2,0
Lilly Salyards,1,1,0
L04 Quiz: Group Meeting,38,249,134
L03 Quiz: Group Meeting,38,231,117
Course Announcements,38,1075,0
student t-2.png,37,715,0
L14 Quiz: Homework,5,27,8
BirdWeights_E2V2.xlsx,1,3,0
L07 Materials: Individual Preparation,37,195,0
L17 Discussion: Group Collaboration,24,61,16
L18 Quiz: Homework,38,200,142
Samuel Mower,8,9,0
L15 Quiz: Group Meeting,14,26,0
L10 Materials: Individual Preparation,37,172,0
math221_image_Step3.png,37,522,0
Week 13:  Notes from Sister Wilkinson,27,40,2
L06 Materials: Individual Preparation,38,190,0
Week 10:  Notes from Sister Wilkinson,27,60,2
L24 Quiz: Group Meeting,37,258,226
L11 Quiz: Homework,6,11,0
3math_image_textbook.png,38,249,0
math221_image_step4.png,33,165,0
L13 Quiz: Group Meeting,38,157,108
math221_document_evaluationEXAMPLE.xlsx,18,26,0
L07 Discussion: Group Collaboration,28,82,19
L04 Materials: Individual Preparation,38,275,0
L04 Discussion: Group Collaboration,6,9,0
Instructions for Embedding Your Introduction Video,37,113,1
Course People,30,182,0
L11 Discussion: Group Collaboration,4,5,0
L11 Quiz: Group Meeting,4,7,0
L03 Materials: Individual Preparation,38,258,0
L14 Discussion: Group Collaboration,4,8,0
homeImage.jpg,38,5401,0
L02 Quiz: Group Meeting,38,315,96
L19 Quiz: Group Meeting,38,151,96
Project Time!,6,8,0
L12 Group Quiz Question 16,24,33,1
Become an online teaching assistant for this course,12,12,0
Final Project: Zoom Presentation,23,80,0
student t-1.png,37,715,0
L01 Discussion: Introduction and Growth Mindset,14,32,0
L13 Discussion: Group Collaboration,27,73,18
Sonia Torres,1,2,0
L12 Discussion: Group Collaboration,1,1,0
L02 Quiz: Homework,8,15,0
W13 End-of-Course Evaluation,32,54,0
Week 02:  Notes from Sister Wilkinson,25,50,2
L11 Quiz: Group Meeting,38,174,102
L10 Quiz: Group Meeting,4,4,0
Week 01:  Notes from Sister Wilkinson,28,63,2
L13 Materials: Individual Preparation,38,133,0
Kallie Payne,1,1,0
Kiersten Benson,1,2,0
math221_image_BoMSamplingimg2.png,37,573,0
W05 Student Feedback to Instructor,35,60,0
Abram Emfield,1,1,0
Course Assignments,15,33,0
-Course Homepage,1,1,0
L05 Quiz: Group Meeting,2,3,0
Rachelle Wilkinson,6,16,0
L04 Quiz: Homework,38,274,138
L08 Quiz: Group Meeting,9,21,0
L18 Discussion: Group Collaboration,2,2,0
Unit 4 Exam (Remotely Proctored),14,140,0
Request Help Tool,14,57,0
Final Project: Design the Study,30,134,8
Kohlyn Garrison,1,1,0
Lesson 19 HW Data.PNG,36,179,0
L09 Quiz: Homework,38,203,148
L17 Discussion: Group Collaboration,3,6,0
L17 Quiz: Homework,8,20,0
Final Project: Overview,31,107,0
L18 Discussion: Group Collaboration,26,61,17
math221b_document_whatIfCalculatorMath221.xlsx,2,5,0
L10 Quiz: Group Meeting,38,169,118
Course Home,38,26110,0
Course Files,8,20,0
Mother's Day Kaiya.jpg,38,1042,0
"Exam 1 ""Debriefing"" and Intro to Hypothesis Testing",29,70,0
Secure Exam Proctor,38,11609,0
Kylie Holt,1,1,0
L16 Quiz: Homework,6,17,0
Grades_HWQ3.xlsx,38,76,0
L07 Quiz: Practice Proctored Exam (Remotely Proctored),37,266,162
L12 Materials: Individual Preparation,38,155,0
"Goodmansen, Bunny_Dee Cochran",1,1,0
L23 Quiz: Homework,38,149,129
Unit 3 Exam (Remotely Proctored),38,302,148
Unit 1 Exam (Remotely Proctored),38,253,137
L09 Quiz: Group Meeting,5,7,0
student t.jpg,37,715,0
Zoom Presentation Project Info,27,80,0
L01 Instructions: Set Up Zoom Account,35,115,0
L14 Quiz: Homework,2,5,0
L12 Quiz: Homework,38,172,139
L04 Quiz: Group Meeting,6,13,0
Math221_document_textbookJan2021.pdf,10,34,0
math_image_chat.png,38,239,0
L17 Materials: Individual Preparation,37,129,0
5math_image_tutoring.png,38,328,0
Submission Reminder: Collect the Data ,30,60,0
L22 Discussion: Group Collaboration,2,3,0
Unit 4 Exam (Remotely Proctored),38,304,181
Week 03:  Notes from Sister Wilkinson,30,62,2
L16 Quiz: Homework,38,219,131
L12 Discussion: Group Collaboration,26,78,15
A message from your new TA,25,49,1
lizards_E4V2.xlsx,34,61,0
MATH 221 Library Research Guide,18,32,0
scew.png,38,1030,0
L18 Materials: Individual Preparation,38,125,0
CrossroadsPurchases.xlsx,33,86,0
handstrenght_E4V2.xlsx,33,50,0
9math_image_study.png,38,116,0
Blank Excel.xlsx,35,69,0
PPT Good Slide Border.jpg,37,620,0
L22 Quiz: Homework,38,164,138
Week 07:  Notes from Sister Wilkinson,25,44,4
L23 Quiz: Group Meeting,38,191,118
L19 Quiz: Homework,37,165,134
student t.png,37,716,0
L18 Quiz: Homework,5,9,0
L21 Quiz: Homework,5,10,0
7math_image_mathanxiety.png,38,378,0
Group 4 Zoom Link,1,0,2
Firms_E3V2.xlsx,27,36,0
Screen Shot 2020-01-24 at 8.43.39 AM.png,38,490,0
L22 Discussion: Group Collaboration,27,51,16
L09 Discussion: Group Collaboration,5,6,0
L02 Quiz: Group Meeting,12,34,0
Course Pages,11,20,0
L05 Materials: Individual Preparation,38,260,0
L11 Discussion: Group Collaboration,27,72,16
L19 Materials: Individual Preparation,37,92,0
L12 Quiz: Group Meeting,2,3,0
Sarah Crawford,2,3,0
Erika Barnes,1,3,0
L13 Discussion: Group Collaboration,1,1,0
Become an online teaching assistant for this course,15,18,0
Week 11: Notes from Sister Wilkinson,26,53,0
L01 Introduction to Online Tutoring,38,184,76
Review for Test 1 Recording & Study Aids,31,83,1
L15 Materials: Individual Preparation,9,11,0
cholesterol_E2V2.xlsx,1,5,0
L22 Quiz: Homework,6,9,0
IllinoisBirthWeightsTwoVar.xlsx,38,58,0
L02 Materials: Individual Preparation,38,297,0
Unit 1 Exam (Remotely Proctored),17,91,0
8math_image_exam.png,30,46,0
L19 Quiz: Homework,4,6,0
L07 Discussion: Group Collaboration,5,7,0
L06 Quiz: Homework,5,9,0
W11 Student Evaluation of Instructor,32,72,0
L01 Instructions: Group Sign Up,38,378,0
L16 Quiz: Group Meeting,38,184,122
student t-4.png,37,692,0
Review for Exam 3 Recording,29,78,0
Mother's Day Riley.jpg,38,1042,0
L11 Materials: Individual Preparation,37,166,0
Final Project: Collect and Describe the Data,37,218,15
Book of Mormon Project: Make Inference and Take Action,33,100,11
L24 Quiz: Group Meeting,13,23,0
L21 Quiz: Group Meeting,38,125,90
L09 Discussion: Group Collaboration,33,108,22
L23 Discussion: Group Collaboration,28,75,15
Course Quizzes,8,28,0
L23 Materials: Individual Preparation,37,125,0
L01 Discussion: Introduction and Growth Mindset,38,337,167
L25 Extra Credit: Scholarly Article,35,154,14
L16 Quiz: Group Meeting,7,11,0
Week 05:  Notes from Sister Wilkinson,28,64,4
L05 Quiz: Homework,5,17,0
Course Grades,38,2290,0
L20 Quiz: Group Meeting,7,15,0
L16 Discussion: Group Collaboration,26,81,16
Statistics Methods Table and Flow Chart,2,7,0
Welcome to Math 221C!,28,54,3
L16 Materials: Individual Preparation,38,168,0
Week 04:  Notes from Sister Wilkinson,30,55,2
Study Aids for Exam 4!,30,116,0
L01 Quiz: Homework,10,24,0
Course Modules,38,10012,0
L22 Materials: Individual Preparation,36,118,0
L19 Discussion: Group Collaboration,4,4,0
Reminder:  Class Test Review Meeting Tomorrow!,26,52,1
Unit 3 Exam (Remotely Proctored),11,96,0
Katherine Scrivens,1,1,0
Mindset Activity: Learning Strategies Check-in,38,200,36
L03 Quiz: Homework,38,260,136
L03 Discussion: Group Collaboration,35,165,30
Jennifer Mattison,3,3,0
L21 Quiz: Homework,38,190,156
WakeCountySqFt_E3V2.xlsx,27,40,0
IMG1968815761006915203.jpg,38,1047,0
Lesson Powerpoints,2,3,0
L10 Quiz: Homework,6,7,0
2math_image_studyplan.png,38,343,0
L03 Homework Quiz Hint & Group Meeting Reminders,31,62,5
L19 Quiz: Group Meeting,5,11,0
L05 Quiz: Group Meeting,38,211,123
Tool__Chest_Spiritual_Thought.png,35,404,0
L11 Quiz: Homework,38,201,144
L17 Quiz: Homework,38,197,145
Mindset Activity: Learning Strategies Check-in,24,49,0
L10 Discussion: Group Collaboration,29,85,21
L07 Quiz: Homework,8,14,0
L20 Quiz: Group Meeting,38,253,168
Week 08:  Notes from Sister Wilkinson,5,8,0
Week 09:  Notes from Sister Wilkinson,30,69,4
L01 Quiz: Homework,38,230,95
L01 Reading: Introduction to the Course,38,200,0
L21 Discussion: Group Collaboration,2,2,0
L25 Materials: Individual Preparation,25,50,0
PPT Bad Slide Border.jpg,37,620,0
L17 Quiz: Group Meeting,38,156,113
L06 Discussion: Group Collaboration,32,85,20
L21 Materials: Individual Preparation,38,137,0
Mindset Activity: Working With Groups,38,175,35
L13 Quiz: Homework,38,173,166
L07 Quiz: Group Meeting,38,179,113
L22 Quiz: Group Meeting,4,9,0
4math_image_groupwork.png,38,403,0
math221_image_toolbox.png,36,75,0
L05 Quiz: Homework,38,218,129
L03 Quiz: Group Meeting,5,15,0
L08 Study Skills,30,53,0
L14 Quiz: Group Meeting,2,3,0
L21 Quiz: Group Meeting,2,2,0
Taylan Salisbury,1,1,0
Mindset Activity: Get Help From Others,38,190,32
Final Project: Make Inference and Take Action,27,106,10
London Parker,1,1,0
Chris Pfleiger,1,1,0
Week 12:  Notes from Sister Wilkinson,28,41,0
L07 Quiz: Homework,38,188,118
6math_image_mindset.png,38,169,0
L23 Quiz: Group Meeting,7,10,0
L07 Quiz: Practice Proctored Exam (Remotely Proctored),9,17,0
Checking In....,20,27,1
L12 Quiz: Homework,5,23,0
Mother's Day Quints.jpg,38,1042,0
L09 Quiz: Homework,4,9,0
Unit 2 Exam (Remotely Proctored),8,27,0
Review for Unit 2 Exam--Class Meeting Recording + Study Aids,15,27,0
Final Project: Evaluation,38,174,36
L05 Discussion: Group Collaboration,7,15,0
