Week Start,Filter,Students,Avg Page Views,Avg Participations,Page Views,Participations
"Dec 26, 2022",All Sections,42,5.548,0.095,233,4
"Jan 2, 2023",All Sections,42,143.429,7.905,6024,332
"Jan 9, 2023",All Sections,42,175.429,14.524,7368,610
"Jan 16, 2023",All Sections,42,160.786,14.476,6753,608
"Jan 23, 2023",All Sections,42,154.881,17.929,6505,753
"Jan 30, 2023",All Sections,42,191.048,15.595,8024,655
"Feb 6, 2023",All Sections,42,185.048,14.238,7772,598
"Feb 13, 2023",All Sections,42,178.952,15.429,7516,648
"Feb 20, 2023",All Sections,42,170.952,14.214,7180,597
"Feb 27, 2023",All Sections,42,156.714,15.476,6582,650
"Mar 6, 2023",All Sections,42,121.833,12.381,5117,520
"Mar 13, 2023",All Sections,42,142.929,8.143,6003,342
"Mar 20, 2023",All Sections,42,149.571,14.143,6282,594
"Mar 27, 2023",All Sections,42,185.333,14,7784,588
"Apr 3, 2023",All Sections,42,88.31,3.286,3709,138
"Apr 10, 2023",All Sections,42,3.881,0,163,0
"Apr 17, 2023",All Sections,42,0.357,0,15,0
"Apr 24, 2023",All Sections,42,0,0,0,0
"May 1, 2023",All Sections,42,0,0,0,0
"May 8, 2023",All Sections,42,0,0,0,0
"May 15, 2023",All Sections,42,0,0,0,0
"May 22, 2023",All Sections,42,0,0,0,0
"May 29, 2023",All Sections,42,0,0,0,0
"Jun 5, 2023",All Sections,42,0,0,0,0
"Jun 12, 2023",All Sections,42,0,0,0,0
"Jun 19, 2023",All Sections,42,0,0,0,0
"Jun 26, 2023",All Sections,42,0,0,0,0
"Jul 3, 2023",All Sections,42,0,0,0,0
"Jul 10, 2023",All Sections,42,0,0,0,0
"Jul 17, 2023",All Sections,42,0,0,0,0
"Jul 24, 2023",All Sections,42,0,0,0,0
"Jul 31, 2023",All Sections,42,0,0,0,0
"Aug 7, 2023",All Sections,42,0,0,0,0
"Aug 14, 2023",All Sections,42,0,0,0,0
"Aug 21, 2023",All Sections,42,0,0,0,0
"Aug 28, 2023",All Sections,42,0,0,0,0
"Sep 4, 2023",All Sections,42,0,0,0,0
"Sep 11, 2023",All Sections,42,0,0,0,0
"Sep 18, 2023",All Sections,42,0,0,0,0
"Sep 25, 2023",All Sections,42,0,0,0,0
"Oct 2, 2023",All Sections,42,0,0,0,0
"Oct 9, 2023",All Sections,42,0,0,0,0
"Oct 16, 2023",All Sections,42,0,0,0,0
"Oct 23, 2023",All Sections,42,0,0,0,0
"Oct 30, 2023",All Sections,42,0,0,0,0
"Nov 6, 2023",All Sections,42,0,0,0,0
"Nov 13, 2023",All Sections,42,0,0,0,0
"Nov 20, 2023",All Sections,42,0,0,0,0
"Nov 27, 2023",All Sections,42,0,0,0,0
"Dec 4, 2023",All Sections,42,0,0,0,0
"Dec 11, 2023",All Sections,42,0,0,0,0
"Dec 18, 2023",All Sections,42,0,0,0,0
"Dec 25, 2023",All Sections,42,0,0,0,0
"Jan 1, 2024",All Sections,42,0,0,0,0
"Jan 8, 2024",All Sections,42,0,0,0,0
"Jan 15, 2024",All Sections,42,0,0,0,0
"Jan 22, 2024",All Sections,42,0,0,0,0
"Jan 29, 2024",All Sections,42,0,0,0,0
"Feb 5, 2024",All Sections,42,0,0,0,0
"Feb 12, 2024",All Sections,42,0,0,0,0
"Feb 19, 2024",All Sections,42,0,0,0,0
"Feb 26, 2024",All Sections,42,0,0,0,0
"Mar 4, 2024",All Sections,42,0,0,0,0
"Mar 11, 2024",All Sections,42,0,0,0,0
"Mar 18, 2024",All Sections,42,0,0,0,0
"Mar 25, 2024",All Sections,42,0,0,0,0
"Apr 1, 2024",All Sections,42,0,0,0,0
"Apr 8, 2024",All Sections,42,0,0,0,0
