Resource,Students,Page Views,Participations
L22 Quiz: Group Meeting,40,192,149
L20 Quiz: Group Meeting,8,17,0
L02 Quiz: Group Meeting,14,27,0
Urgent:  Project Submissions...,25,40,0
L06 Discussion: Group Collaboration,4,6,0
L07 Discussion: Group Collaboration,29,65,19
L10 Quiz: Group Meeting,42,206,131
Ads_E4V2.xlsx,37,47,0
L25 Extra Credit: Scholarly Article,36,144,13
L01 Discussion: Introduction and Growth Mindset,15,30,0
math_image_chat.png,42,244,0
L20 Materials: Individual Preparation,36,130,0
L12 Quiz: Homework,6,7,0
L14 Materials: Individual Preparation,38,141,0
PXL_20230127_185511467.jpg,42,945,0
Editha Estavillo Pamesa Neo,1,1,0
L10 Quiz: Homework,42,224,152
Unit 3 Exam (Remotely Proctored),41,282,144
Unit 3 Exam (Remotely Proctored),7,13,0
L23 Materials: Individual Preparation,37,133,0
Week 09:  Notes from Sister Wilkinson,36,106,0
L17 Discussion: Group Collaboration,1,1,0
5math_image_tutoring.png,41,349,0
L08 Quiz: Group Meeting,10,22,0
Firms_E3V2.xlsx,32,45,0
Unit 1 Exam (Remotely Proctored),17,30,0
W05 Student Feedback to Instructor,39,66,0
Mindset Activity: Learning Strategies Check-in,40,173,38
Sara Meghan Reheis,2,5,0
L10 Materials: Individual Preparation,40,256,0
L02 Quiz: Homework,7,9,0
Project Designs,29,43,0
Final Project: Evaluation,41,206,44
L09 Quiz: Homework,7,10,0
L19 Quiz: Homework,6,8,0
L03 Quiz: Group Meeting,8,18,0
L05 Discussion: Group Collaboration,34,118,19
L12 Quiz: Group Meeting,6,7,0
L13 Discussion: Group Collaboration,30,58,19
8math_image_exam.png,31,54,0
L11 Quiz: Group Meeting,42,196,110
Unit 1 Exam (Remotely Proctored),42,402,207
PXL_20230127_185511467 (1).jpg,42,941,0
IllinoisBirthWeightsTwoVar.xlsx,38,43,0
L08 Materials: Individual Preparation,41,149,0
L06 Materials: Individual Preparation,41,182,0
3math_image_textbook.png,41,256,0
Lesson Powerpoints,4,21,0
L11 Quiz: Group Meeting,8,9,0
L04 Quiz: Group Meeting,42,242,114
L21 Discussion: Group Collaboration,2,2,0
L23 Quiz: Homework,4,5,0
L04 Discussion: Group Collaboration,34,127,20
Christopher Jordan,1,1,0
L10 Quiz: Homework,6,7,0
Unit 4 Exam (Remotely Proctored),12,22,0
cholesterol_E2V2.xlsx,40,68,0
L03 Materials: Individual Preparation,41,225,0
L06 Quiz: Group Meeting,42,204,93
L05 Discussion: Group Collaboration,7,10,0
Course Discussions,17,53,1
Statistics Methods Table and Flow Chart,4,6,0
L07 Discussion: Group Collaboration,4,7,0
Tool__Chest_Spiritual_Thought.png,41,466,0
Kylee Potter,3,4,0
PXL_20230127_185511467 (1).jpg,2,2,0
L11 Quiz: Homework,42,259,147
Makayla Andrus,1,1,0
"Exam 1 ""Debriefing"" and Intro to Hypothesis Testing",31,69,0
math221_document_evaluation.xlsx,39,70,0
Rachelle Wilkinson,11,20,0
L14 Quiz: Group Meeting,41,202,130
L07 Materials: Individual Preparation,41,166,0
Reminder:  Test Review Meeting Today!,25,57,1
L18 Quiz: Group Meeting,39,161,102
BirdWeights_E2V2.xlsx,38,40,0
Zoom Presentation Project Info,24,65,1
L24 Quiz: Group Meeting,10,23,0
L12 Discussion: Group Collaboration,2,3,0
math_image_successful.png,40,170,0
Week 10:  Notes from Sister Wilkinson,27,68,0
L13 Quiz: Homework,4,5,0
L04 Quiz: Group Meeting,10,15,0
L19 Quiz: Group Meeting,41,143,98
Recording from Test Review 3 Meeting + Data Files,33,93,0
Emily Arnold,1,1,0
L16 Quiz: Homework,41,238,142
math221_image_BoMSamplingimg2.png,42,653,0
Angela Warth,2,2,0
Week 11: Notes from Sister Wilkinson,32,65,0
L07 Quiz: Practice Proctored Exam (Remotely Proctored),6,12,0
Week 04:  Notes from Sister Wilkinson,32,63,1
Course Files,13,21,0
Screen Shot 2020-01-24 at 8.43.39 AM.png,42,440,0
Week 06:  Notes from Sister Wilkinson,32,83,4
L18 Discussion: Group Collaboration,2,2,0
Lesson 19 HW Data.PNG,41,179,0
Mindset Activity: Working With Groups,42,182,42
Submission Reminder: Collect the Data ,33,84,0
Unit 2 Exam (Remotely Proctored),42,312,162
Jennifer Anderson,2,3,0
W11 Student Evaluation of Instructor,34,58,0
Become an online teaching assistant for this course,9,9,0
Mary Alofipo,1,1,0
math221_image_step4.png,38,253,0
L13 Quiz: Group Meeting,8,12,0
L15 Quiz: Group Meeting,4,6,0
L22 Quiz: Homework,4,5,0
handstrenght_E4V2.xlsx,35,56,0
"Welcome to Math 221C, Section 11!",28,69,4
L12 Materials: Individual Preparation,39,194,0
L13 Quiz: Group Meeting,42,208,116
L03 Quiz: Group Meeting,42,226,112
L06 Discussion: Group Collaboration,35,91,21
L03 Quiz: Homework,42,247,165
L16 Quiz: Group Meeting,7,7,0
Anna Huber,1,2,0
Mayci Cureton,1,1,0
L07 Quiz: Group Meeting,42,176,117
L01 Introduction to Online Tutoring,42,161,88
Sienna Hobbs,1,3,0
Ekpenyong Etim,2,2,0
L11 Quiz: Homework,11,17,0
Eliza Kempton,1,1,0
L23 Quiz: Group Meeting,40,183,117
L22 Materials: Individual Preparation,37,128,0
Tips for Lesson 05,31,76,0
Brealle Frasier,1,1,0
Course Quizzes,8,20,0
L04 Materials: Individual Preparation,41,274,0
L03 Discussion: Group Collaboration,35,129,23
Final Project: Design the Study,41,227,16
Mindset Activity: Get Help From Others,42,195,43
Mindset Assignment Grading Rubric,25,34,0
