Week Start,Filter,Students,Avg Page Views,Avg Participations,Page Views,Participations
"Jan 1, 2024",All Sections,37,16.243,0.486,601,18
"Jan 8, 2024",All Sections,37,119.838,8,4434,296
"Jan 15, 2024",All Sections,37,147.757,15.27,5467,565
"Jan 22, 2024",All Sections,37,123.541,16.108,4571,596
"Jan 29, 2024",All Sections,37,97.676,16.243,3614,601
"Feb 5, 2024",All Sections,37,123.622,14.73,4574,545
"Feb 12, 2024",All Sections,37,123.243,14.297,4560,529
"Feb 19, 2024",All Sections,37,122.405,17.676,4529,654
"Feb 26, 2024",All Sections,37,100.027,14.162,3701,524
"Mar 4, 2024",All Sections,37,95.811,13.757,3545,509
"Mar 11, 2024",All Sections,37,82.405,12.243,3049,453
"Mar 18, 2024",All Sections,37,88.757,8.27,3284,306
"Mar 25, 2024",All Sections,37,97.486,12.919,3607,478
"Apr 1, 2024",All Sections,37,120.432,11.459,4456,424
"Apr 8, 2024",All Sections,37,14.081,0.676,521,25
