Resource,Students,Page Views,Participations
Review for Test 3,24,60,1
Final Project: Zoom Presentation,33,143,25
Tool__Chest_Spiritual_Thought.png,33,353,0
L13 Discussion: Group Collaboration,25,50,17
Lesson 19 HW Data.PNG,35,141,0
Math221_document_textbookJan2021.pdf,11,38,0
math221_document_evaluation.xlsx,34,51,0
math_image_successful.png,35,121,0
Statistics Methods Table and Flow Chart,1,1,0
L11 Quiz: Homework,37,171,152
Week 01;  Notes from Sister Wilkinson,24,67,2
Marty McBride,3,3,0
L05 Quiz: Group Meeting,37,267,164
L11 Quiz: Homework,3,4,0
PPT Bad Slide Border.jpg,35,580,0
L09 Materials: Individual Preparation,34,114,0
L06 Quiz: Homework,2,2,0
L05 Quiz: Homework,31,164,103
L10 Quiz: Homework,37,157,136
math_image_chat.png,36,217,0
L03 Quiz: Homework,37,169,119
L13 Materials: Individual Preparation,32,98,0
Renee Mead,2,3,0
L03 Materials: Individual Preparation,34,148,0
L09 Quiz: Group Meeting,36,158,96
homeImage.jpg,37,4449,0
L13 Quiz: Group Meeting,2,8,0
L18 Materials: Individual Preparation,31,86,0
L14 Discussion: Group Collaboration,27,71,20
CrossroadsPurchases.xlsx,26,44,0
5math_image_tutoring.png,34,261,0
math221_image_step4.png,33,144,0
L20 Materials: Individual Preparation,26,79,0
Screen Shot 2020-01-24 at 8.43.39 AM.png,37,404,0
Course Syllabus,32,108,0
L19 Quiz: Group Meeting,36,136,83
L02 Materials: Individual Preparation,37,211,0
4math_image_groupwork.png,37,351,0
Kemish Serna,1,1,0
Week 14:  Notes from Sister Wilkinson,13,20,0
Avery Cannon,1,1,0
L02 Quiz: Homework,37,196,114
Secure Exam Proctor,37,6692,0
Ifunanyachi Sapphire Agwu,3,4,0
Apartments_E4V4-1.xlsx,4,4,0
Kyle Banks,1,1,0
L05 Materials: Individual Preparation,36,185,0
"Welcome to Math 221A, Section A8!",27,55,8
Submission Reminder: Collect the Data ,23,54,0
L12 Quiz: Homework,37,134,137
Michael Kelley,1,2,0
Unit 4 Exam (Remotely Proctored),1,6,0
Kaden Rawlings,1,1,0
L23 Quiz: Homework,3,7,0
L08 Quiz: Group Meeting,2,2,0
math221_image_Step3.png,37,356,0
Week 04:  Notes from Sister Wilkinson,20,35,4
L07 Quiz: Group Meeting,37,149,97
Sarah Concepcion,1,1,0
L01 Discussion: Introduction and Growth Mindset,37,265,121
L16 Quiz: Homework,3,4,0
Lesson Powerpoints,3,4,0
Tips for Posting Your Zoom Intro Video,22,36,1
L07 Quiz: Homework,2,2,0
9math_image_study.png,34,104,0
L01 Instructions: Microsoft Excel Setup,30,54,0
L07 Quiz: Practice Proctored Exam (Remotely Proctored),37,223,161
L25 Extra Credit: Scholarly Article,18,53,6
Mindset Activity: Working With Groups,32,147,40
L08 Quiz: Group Meeting,37,216,135
8math_image_exam.png,25,37,0
L14 Materials: Individual Preparation,32,80,0
Book of Mormon Project: Participation Report,36,104,68
Book of Mormon Project: Make Inference and Take Action,32,111,11
20240314_140554.jpg,35,413,0
Tod Farrell,1,1,0
L04 Quiz: Group Meeting,3,15,0
L12 Materials: Individual Preparation,33,138,0
L21 Quiz: Homework,3,4,0
Final Project: Make Inference and Take Action,27,96,9
Final Project: Evaluation,34,126,33
Daniel Korley Dickson,2,2,0
L05 Quiz: Homework,1,3,0
math221_image_onesampletprojectimg.png,37,376,0
L21 Quiz: Group Meeting,4,9,0
Course Modules,37,7003,0
L10 Materials: Individual Preparation,35,142,0
L16 Quiz: Homework,35,133,118
Martin Franco Erenas,1,1,0
L09 Quiz: Homework,2,3,0
Ethan Scott Slack,1,2,0
L07 Quiz: Group Meeting,3,3,0
Unit 1 Exam (Remotely Proctored),37,265,126
Georgiana Armstrong,3,3,0
L04 Quiz: Homework,34,185,119
L16 Quiz: Group Meeting,37,176,134
L17 Quiz: Homework,2,5,0
L06 Discussion: Group Collaboration,30,94,19
Oscar Izquierdo Cedillo,2,5,0
L18 Quiz: Homework,2,3,0
L05 Discussion: Group Collaboration,29,112,34
VoltageDrop_E2V3-1-1.xlsx,35,55,0
L10 Discussion: Group Collaboration,29,73,16
L22 Discussion: Group Collaboration,21,49,13
Sales_E3V3-1-1.xlsx,33,45,0
Sabrina Whitman,2,3,0
L09 Quiz: Group Meeting,1,1,0
Robin Best Best,1,1,0
L23 Quiz: Group Meeting,33,124,97
L09 Discussion: Group Collaboration,32,74,17
L19 Quiz: Group Meeting,1,9,0
L15 Quiz: Group Meeting,2,8,0
